,,cut_cost,cut_cost,cut_cost,cut_cost,heuristic_time,heuristic_time,heuristic_time,heuristic_time,workload_id
,,mean,std,min,max,mean,std,min,max,count
model,num_qubits,,,,,,,,,
Circuit,742,502.2,343.4868,164,1046,2.7585,4.2936,0.6417,10.4293,5
Circuit,752,604.6,309.7431,106,874,2.6354,2.3367,0.4189,5.5042,5
Circuit,762,401.2,261.4091,170,711,1.8441,0.4266,1.1649,2.2861,5
Circuit,772,516.8,295.1223,166,857,2.3777,2.3687,0.6485,6.2164,5
Circuit,782,442.6,259.2244,151,781,2.4022,1.6408,0.8397,4.3013,5
Circuit,792,463.4,277.3162,185,926,2.6456,3.6589,0.7954,9.1715,5
Circuit,802,679.2,298.7837,173,903,3.447,2.131,0.966,5.6847,5
Circuit,812,586.0,252.2875,238,915,2.2043,2.1049,0.4053,5.7845,5
Circuit,822,686.8,225.3712,438,961,3.2203,2.3001,1.2825,5.889,5
Circuit,832,617.4,233.9344,240,829,3.2312,1.7687,1.3358,6.1527,5
Circuit,842,730.0,98.3336,560,812,2.4111,1.1413,0.7897,3.9907,5
Circuit,852,591.8,283.1602,255,950,3.3057,2.6448,1.0244,7.4348,5
Circuit,862,508.0,317.1853,152,953,2.7325,2.8568,0.9595,7.7767,5
Circuit,872,547.6,314.9584,187,901,3.7263,2.4525,1.4734,6.7359,5
Circuit,882,541.6,396.6974,253,1174,3.0892,4.485,0.5027,11.0551,5
Circuit,892,788.8,452.5546,129,1276,5.2953,5.3335,0.8274,12.7072,5
Circuit,902,959.2,287.7459,537,1279,6.7461,5.3242,1.9884,13.9904,5
Circuit,912,566.6,361.1209,154,1025,2.6659,2.3389,0.512,6.1987,5
Circuit,922,1177.0,238.5529,893,1359,13.4887,8.3655,4.8883,23.104,5
Circuit,932,736.0,288.2117,230,922,5.6812,2.5268,1.9065,8.4171,5
Circuit,942,1033.4,398.1549,363,1348,10.0905,4.5715,2.957,14.5165,5
Circuit,952,516.6,377.7185,169,1134,2.1045,2.7817,0.429,7.0342,5
Circuit,962,828.8,315.99,504,1282,4.2522,3.3357,1.1133,9.3779,5
Circuit,972,1077.0,258.5459,622,1231,5.5477,2.8667,0.5253,7.3047,5
Circuit,982,832.8,459.9627,337,1284,4.8608,3.9802,0.5998,9.8246,5
Circuit,992,659.2,340.5058,195,1012,1.9421,1.4257,0.7213,4.3111,5
MBQC,2,1.4,1.5166,0,3,0.0001,0.0,0.0,0.0001,5
MBQC,12,0.0,0.0,0,0,0.0006,0.0002,0.0003,0.0008,5
MBQC,22,1.8,3.0332,0,7,0.0013,0.0008,0.0007,0.0026,5
MBQC,32,0.4,0.8944,0,2,0.0035,0.0032,0.0012,0.0088,5
MBQC,42,0.2,0.4472,0,1,0.005,0.0037,0.002,0.011,5
MBQC,52,1.2,2.1679,0,5,0.0031,0.0011,0.0019,0.004,5
MBQC,62,0.0,0.0,0,0,0.005,0.0026,0.0026,0.0082,5
MBQC,72,0.0,0.0,0,0,0.0065,0.0028,0.0025,0.0096,5
MBQC,82,0.0,0.0,0,0,0.0125,0.0133,0.0042,0.0351,5
MBQC,92,0.8,1.3038,0,3,0.0055,0.0025,0.0039,0.0097,5
MBQC,102,0.4,0.8944,0,2,0.0084,0.0035,0.0057,0.0142,5
MBQC,112,4.0,8.9443,0,20,0.0136,0.0091,0.0049,0.028,5
MBQC,122,0.0,0.0,0,0,0.0121,0.004,0.0065,0.0161,5
MBQC,132,1.8,1.7889,0,4,0.0102,0.0039,0.0056,0.0143,5
