circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.2,2,243.0,310.0,1.2757201646090535,0.00989222526550293,0.007057905197143555,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[2, 2, 1]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.3,3,182.0,250.0,1.3736263736263736,0.022490978240966797,0.00787496566772461,TIMED-QUBIT-LEVEL,243,True,"[3, 2, 0]","[3, 3, 1]","[5, 0, 0]","[3, 2, 0]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.0,2,602.0,600.0,0.9966777408637874,0.0153961181640625,0.0396580696105957,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 2, 0]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.1,2,602.0,600.0,0.9966777408637874,0.015382051467895508,0.03968191146850586,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 2, 0]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.2,2,602.0,600.0,0.9966777408637874,0.015114068984985352,0.04002213478088379,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 2, 0]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.3,2,602.0,600.0,0.9966777408637874,0.016286849975585938,0.04022669792175293,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 2, 0]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.0,2,52.0,120.0,2.3076923076923075,0.002791881561279297,0.0018148422241210938,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.1,2,52.0,120.0,2.3076923076923075,0.0028960704803466797,0.0016307830810546875,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.2,2,52.0,120.0,2.3076923076923075,0.0027408599853515625,0.00164794921875,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.3,2,52.0,120.0,2.3076923076923075,0.002849102020263672,0.0016467571258544922,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
