circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.1,2,60.0,211.0,3.5166666666666666,0.03286886215209961,0.0007288455963134766,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.2,2,60.0,211.0,3.5166666666666666,0.022355079650878906,0.0007450580596923828,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.3,2,60.0,211.0,3.5166666666666666,0.02266097068786621,0.0007340908050537109,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.4,2,60.0,211.0,3.5166666666666666,0.022027015686035156,0.0007119178771972656,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
twolocalrandom_indep_qiskit_3,3,72,69,3,60,3,1.5,2,60.0,211.0,3.5166666666666666,0.022244930267333984,0.0007421970367431641,QUBIT-LEVEL,"[2, 1, 0]","[2, 2, 2]","[2, 1, 0]","[2, 1, 0]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.0,2,240.0,323.0,1.3458333333333334,2.7750561237335205,0.05010104179382324,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.1,2,240.0,323.0,1.3458333333333334,2.744396209716797,0.01223134994506836,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.2,2,240.0,323.0,1.3458333333333334,2.7781970500946045,0.012531042098999023,QUBIT-LEVEL,"[2, 2, 1]","[2, 2, 2]","[2, 2, 1]","[3, 0, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.3,3,180.0,473.0,2.6277777777777778,6.535636901855469,0.011372089385986328,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[2, 1, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.4,3,180.0,473.0,2.6277777777777778,7.061016798019409,0.012512922286987305,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[2, 1, 2]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.5,3,180.0,473.0,2.6277777777777778,6.826047897338867,0.010306119918823242,QUBIT-LEVEL,"[2, 3, 0]","[3, 3, 3]","[2, 3, 0]","[2, 1, 2]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.0,2,600.0,1372.0,2.2866666666666666,1.4407129287719727,0.060304880142211914,QUBIT-LEVEL,"[2, 2, 0]","[2, 2, 2]","[2, 2, 0]","[1, 0, 3]"
