circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
dj_indep_qiskit_10,10,92,83,9,73,3,1.1,4,30.0,50.0,1.6666666666666667,600.0001442432404,0.0008370876312255859,NODE-LEVEL-TIMED,84,False,"[4, 4, 4]","[4, 4, 4]","[3, 3, 3]","[4, 2, 3]"
dj_indep_qiskit_10,10,92,83,9,73,3,1.2,4,30.0,50.0,1.6666666666666667,600.0001363754272,0.0008339881896972656,NODE-LEVEL-TIMED,84,False,"[4, 4, 4]","[4, 4, 4]","[3, 3, 3]","[4, 2, 3]"
dj_indep_qiskit_10,10,92,83,9,73,3,1.3,5,60.0,40.0,0.6666666666666666,600.0001690387726,0.0008339881896972656,NODE-LEVEL-TIMED,87,False,"[5, 5, 5]","[5, 3, 5]","[3, 3, 3]","[4, 1, 4]"
dj_indep_qiskit_6,6,52,47,5,41,3,1.0,2,40.0,20.0,0.5,0.013972997665405273,0.000469207763671875,NODE-LEVEL-TIMED,5,False,"[2, 2, 2]","[2, 2, 2]","[1, 2, 2]","[3, 1, 1]"
dj_indep_qiskit_6,6,52,47,5,41,3,1.1,3,10.0,40.0,4.0,0.6889269351959229,0.00045490264892578125,NODE-LEVEL-TIMED,36,False,"[3, 3, 1]","[3, 3, 3]","[2, 2, 1]","[2, 1, 2]"
dj_indep_qiskit_6,6,52,47,5,41,3,1.2,3,10.0,40.0,4.0,0.6725990772247314,0.0004620552062988281,NODE-LEVEL-TIMED,36,False,"[3, 3, 1]","[3, 3, 3]","[2, 2, 1]","[2, 1, 2]"
dj_indep_qiskit_6,6,52,47,5,41,3,1.3,3,10.0,40.0,4.0,0.682013988494873,0.0004718303680419922,NODE-LEVEL-TIMED,36,False,"[3, 3, 1]","[3, 3, 3]","[2, 2, 1]","[2, 1, 2]"
dj_indep_qiskit_7,7,62,56,6,49,3,1.0,3,20.0,40.0,2.0,0.5320398807525635,0.0005939006805419922,NODE-LEVEL-TIMED,40,False,"[3, 3, 3]","[3, 3, 3]","[2, 2, 2]","[3, 1, 2]"
dj_indep_qiskit_7,7,62,56,6,49,3,1.1,3,20.0,40.0,2.0,0.5360898971557617,0.0005440711975097656,NODE-LEVEL-TIMED,40,False,"[3, 3, 3]","[3, 3, 3]","[2, 2, 2]","[3, 1, 2]"
dj_indep_qiskit_7,7,62,56,6,49,3,1.2,3,20.0,40.0,2.0,0.5417230129241943,0.0006020069122314453,NODE-LEVEL-TIMED,40,False,"[3, 3, 3]","[3, 3, 3]","[2, 2, 2]","[3, 1, 2]"
