circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
random_indep_qiskit_8,8,473,465,402,3,1.1,3,39,64.0,1.641025641025641,0.2914869785308838,0.028638839721679688,QUBIT-LEVEL,"[3, 2, 3]","[3, 3, 3]"
random_indep_qiskit_8,8,473,465,402,3,1.2,4,28,83.0,2.9642857142857144,0.8372490406036377,0.025470972061157227,QUBIT-LEVEL,"[4, 4, 0]","[4, 4, 4]"
qpeinexact_indep_qiskit_7,7,170,164,139,3,1.0,3,19,25.0,1.3157894736842106,0.06470012664794922,0.003921031951904297,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
qpeinexact_indep_qiskit_7,7,170,164,139,3,1.1,3,19,25.0,1.3157894736842106,0.06492280960083008,0.0039098262786865234,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
qpeinexact_indep_qiskit_7,7,170,164,139,3,1.2,3,19,25.0,1.3157894736842106,0.06574892997741699,0.0039250850677490234,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
realamprandom_indep_qiskit_10,10,870,860,725,3,1.0,4,102,106.0,1.0392156862745099,6.805146217346191,0.08404898643493652,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
realamprandom_indep_qiskit_10,10,870,860,725,3,1.1,4,102,106.0,1.0392156862745099,6.759101867675781,0.07169389724731445,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
realamprandom_indep_qiskit_10,10,870,860,725,3,1.2,4,102,106.0,1.0392156862745099,6.835968017578125,0.06882309913635254,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
wstate_indep_qiskit_7,7,99,92,80,3,1.0,3,8,16.0,2.0,0.038105010986328125,0.0012819766998291016,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
wstate_indep_qiskit_7,7,99,92,80,3,1.1,3,8,16.0,2.0,0.0386199951171875,0.0013058185577392578,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
wstate_indep_qiskit_7,7,99,92,80,3,1.2,3,8,16.0,2.0,0.038375139236450195,0.0012578964233398438,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
