circuit,overhead,cut_cost,num_qubits,num_nodes,num_hyperedges,k,cap
graphstate_indep_qiskit_114,1.2,559,1026,0,0,4,307
graphstate_indep_qiskit_114,1.3,559,1026,0,0,4,333
graphstate_indep_qiskit_114,1.5,559,1026,0,0,4,384
graphstate_indep_qiskit_114,2.0,559,1026,0,0,4,513
dj_indep_qiskit_115,1.0,197,1142,0,0,4,285
dj_indep_qiskit_115,1.1,197,1142,0,0,4,314
dj_indep_qiskit_115,1.2,197,1142,0,0,4,342
dj_indep_qiskit_115,1.3,197,1142,0,0,4,371
dj_indep_qiskit_115,1.5,197,1142,0,0,4,428
dj_indep_qiskit_115,2.0,197,1142,0,0,4,571
ghz_indep_qiskit_51,1.0,191,403,0,0,4,100
ghz_indep_qiskit_51,1.1,191,403,0,0,4,110
ghz_indep_qiskit_51,1.2,191,403,0,0,4,120
ghz_indep_qiskit_51,1.3,191,403,0,0,4,130
ghz_indep_qiskit_51,1.5,191,403,0,0,4,151
ghz_indep_qiskit_51,2.0,191,403,0,0,4,201
ghz_indep_qiskit_45,1.0,161,355,0,0,4,88
ghz_indep_qiskit_45,1.1,161,355,0,0,4,97
ghz_indep_qiskit_45,1.2,161,355,0,0,4,106
ghz_indep_qiskit_45,1.3,161,355,0,0,4,115
ghz_indep_qiskit_45,1.5,161,355,0,0,4,133
ghz_indep_qiskit_45,2.0,161,355,0,0,4,177
dj_indep_qiskit_101,1.0,173,1002,0,0,4,250
dj_indep_qiskit_101,1.1,173,1002,0,0,4,275
dj_indep_qiskit_101,1.2,173,1002,0,0,4,300
dj_indep_qiskit_101,1.3,173,1002,0,0,4,325
dj_indep_qiskit_101,1.5,173,1002,0,0,4,375
dj_indep_qiskit_101,2.0,173,1002,0,0,4,501
portfolioqaoa_indep_qiskit_16,1.0,12,2256,0,0,4,564
portfolioqaoa_indep_qiskit_16,1.1,12,2256,0,0,4,620
portfolioqaoa_indep_qiskit_16,1.2,12,2256,0,0,4,676
portfolioqaoa_indep_qiskit_16,1.3,12,2256,0,0,4,733
portfolioqaoa_indep_qiskit_16,1.5,12,2256,0,0,4,846
portfolioqaoa_indep_qiskit_16,2.0,12,2256,0,0,4,1128
graphstate_indep_qiskit_100,1.0,284,900,0,0,4,225
graphstate_indep_qiskit_100,1.1,284,900,0,0,4,247
graphstate_indep_qiskit_100,1.2,284,900,0,0,4,270
graphstate_indep_qiskit_100,1.3,284,900,0,0,4,292
graphstate_indep_qiskit_100,1.5,284,900,0,0,4,337
graphstate_indep_qiskit_100,2.0,284,900,0,0,4,450
dj_indep_qiskit_129,1.0,222,1282,0,0,4,320
dj_indep_qiskit_129,1.1,222,1282,0,0,4,352
dj_indep_qiskit_129,1.2,222,1282,0,0,4,384
dj_indep_qiskit_129,1.3,222,1282,0,0,4,416
dj_indep_qiskit_129,1.5,222,1282,0,0,4,480
dj_indep_qiskit_129,2.0,222,1282,0,0,4,641
qnn_indep_qiskit_103,1.0,176,137808,0,0,4,34452
