circuit,num_qubits,num_nodes,num_quantum_nodes,num_classical_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,partitions_checked,search_completed,optimal_qubit_counts,heuristic_qubit_counts,optimal_classical_counts,heuristic_classical_counts
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.2,2,243.0,310.0,1.2757201646090535,0.010023117065429688,0.006957054138183594,TIMED-QUBIT-LEVEL,243,True,"[2, 2, 1]","[2, 2, 2]","[5, 0, 0]","[2, 2, 1]"
qwalk-v-chain_indep_qiskit_5,5,281,276,5,222,3,1.3,3,182.0,250.0,1.3736263736263736,0.022727012634277344,0.007310152053833008,TIMED-QUBIT-LEVEL,243,True,"[3, 2, 0]","[3, 3, 1]","[5, 0, 0]","[3, 2, 0]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.0,2,602.0,600.0,0.9966777408637874,0.015014171600341797,0.03939080238342285,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 2, 0]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.1,2,602.0,600.0,0.9966777408637874,0.015176773071289062,0.03871583938598633,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 2, 0]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.2,2,602.0,600.0,0.9966777408637874,0.015170812606811523,0.03883695602416992,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 2, 0]"
qwalk-noancilla_indep_qiskit_4,4,696,692,4,590,3,1.3,2,602.0,600.0,0.9966777408637874,0.015049934387207031,0.03862595558166504,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 2, 0]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.0,2,52.0,120.0,2.3076923076923075,0.0028002262115478516,0.0016529560089111328,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.1,2,52.0,120.0,2.3076923076923075,0.0027201175689697266,0.0015940666198730469,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.2,2,52.0,120.0,2.3076923076923075,0.0028312206268310547,0.0016679763793945312,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
tsp_indep_qiskit_4,4,122,118,4,103,3,1.3,2,52.0,120.0,2.3076923076923075,0.0028581619262695312,0.0015177726745605469,TIMED-QUBIT-LEVEL,81,True,"[2, 2, 0]","[2, 2, 2]","[4, 0, 0]","[2, 1, 1]"
