circuit,num_qubits,num_nodes,num_quantum_nodes,num_edges,k,overhead,capacity,optimal_cost,heuristic_cost,ratio,brute_force_time,heuristic_time,method,optimal_qubit_counts,heuristic_qubit_counts
random_indep_qiskit_8,8,473,465,402,3,1.0,3,39.0,64.0,1.641025641025641,0.37863898277282715,0.028460025787353516,QUBIT-LEVEL,"[3, 2, 3]","[3, 3, 3]"
random_indep_qiskit_8,8,473,465,402,3,1.1,3,39.0,64.0,1.641025641025641,0.38155198097229004,0.02907085418701172,QUBIT-LEVEL,"[3, 2, 3]","[3, 3, 3]"
random_indep_qiskit_8,8,473,465,402,3,1.2,4,28.0,83.0,2.9642857142857144,1.1268048286437988,0.02492070198059082,QUBIT-LEVEL,"[4, 4, 0]","[4, 4, 4]"
qpeinexact_indep_qiskit_7,7,170,164,139,3,1.0,3,19.0,25.0,1.3157894736842106,0.08499288558959961,0.0039958953857421875,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
qpeinexact_indep_qiskit_7,7,170,164,139,3,1.1,3,19.0,25.0,1.3157894736842106,0.09715771675109863,0.004068851470947266,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
qpeinexact_indep_qiskit_7,7,170,164,139,3,1.2,3,19.0,25.0,1.3157894736842106,0.08421611785888672,0.003995180130004883,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
realamprandom_indep_qiskit_10,10,870,860,725,3,1.0,4,102.0,106.0,1.0392156862745099,9.026343822479248,0.0688788890838623,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
realamprandom_indep_qiskit_10,10,870,860,725,3,1.1,4,102.0,106.0,1.0392156862745099,8.831806898117065,0.07009005546569824,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
realamprandom_indep_qiskit_10,10,870,860,725,3,1.2,4,102.0,106.0,1.0392156862745099,8.84391188621521,0.06969904899597168,QUBIT-LEVEL,"[4, 4, 2]","[4, 4, 4]"
wstate_indep_qiskit_7,7,99,92,80,3,1.0,3,8.0,16.0,2.0,0.051795005798339844,0.0012829303741455078,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
wstate_indep_qiskit_7,7,99,92,80,3,1.1,3,8.0,16.0,2.0,0.05039405822753906,0.001316070556640625,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
wstate_indep_qiskit_7,7,99,92,80,3,1.2,3,8.0,16.0,2.0,0.049607038497924805,0.0013039112091064453,QUBIT-LEVEL,"[3, 3, 1]","[3, 3, 3]"
wstate_indep_qiskit_6,6,83,77,67,3,1.0,2,8.0,16.0,2.0,0.0046079158782958984,0.0013916492462158203,QUBIT-LEVEL,"[2, 2, 2]","[2, 2, 2]"
wstate_indep_qiskit_6,6,83,77,67,3,1.1,3,5.0,16.0,3.2,0.020175695419311523,0.0008609294891357422,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
wstate_indep_qiskit_6,6,83,77,67,3,1.2,3,5.0,16.0,3.2,0.020475149154663086,0.0007958412170410156,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
qpeinexact_indep_qiskit_6,6,124,119,101,3,1.0,2,15.0,15.0,1.0,0.006438016891479492,0.0023500919342041016,QUBIT-LEVEL,"[2, 2, 2]","[2, 2, 2]"
qpeinexact_indep_qiskit_6,6,124,119,101,3,1.1,3,11.0,24.0,2.1818181818181817,0.029703855514526367,0.0017209053039550781,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
qpeinexact_indep_qiskit_6,6,124,119,101,3,1.2,3,11.0,24.0,2.1818181818181817,0.029439210891723633,0.0018129348754882812,QUBIT-LEVEL,"[3, 3, 0]","[3, 3, 3]"
