workload_file,origin,n_qubits,k_partitions,best_method,best_cost
ae_indep_qiskit_127.qasm,MQTBench,127,4,greedy_hdh,6143
ae_indep_qiskit_128.qasm,MQTBench,128,2,greedy_hdh,4160
ae_indep_qiskit_128.qasm,MQTBench,128,3,greedy_hdh,5546
ae_indep_qiskit_128.qasm,MQTBench,128,4,greedy_hdh,6240
ae_indep_qiskit_129.qasm,MQTBench,129,2,greedy_hdh,4224
ae_indep_qiskit_129.qasm,MQTBench,129,3,greedy_hdh,5633
ae_indep_qiskit_129.qasm,MQTBench,129,4,greedy_hdh,6333
ae_indep_qiskit_130.qasm,MQTBench,130,2,greedy_hdh,4290
ae_indep_qiskit_130.qasm,MQTBench,130,3,greedy_hdh,5718
ae_indep_qiskit_130.qasm,MQTBench,130,4,greedy_hdh,6433
ae_indep_qiskit_21.qasm,MQTBench,21,2,greedy_hdh,121
ae_indep_qiskit_21.qasm,MQTBench,21,3,greedy_hdh,161
ae_indep_qiskit_21.qasm,MQTBench,21,4,greedy_hdh,177
ae_indep_qiskit_22.qasm,MQTBench,22,2,greedy_hdh,132
ae_indep_qiskit_22.qasm,MQTBench,22,3,greedy_hdh,174
ae_indep_qiskit_22.qasm,MQTBench,22,4,greedy_hdh,196
ae_indep_qiskit_23.qasm,MQTBench,23,2,greedy_hdh,144
ae_indep_qiskit_23.qasm,MQTBench,23,3,greedy_hdh,192
ae_indep_qiskit_23.qasm,MQTBench,23,4,greedy_hdh,216
ae_indep_qiskit_24.qasm,MQTBench,24,2,greedy_hdh,156
ae_indep_qiskit_24.qasm,MQTBench,24,3,greedy_hdh,208
ae_indep_qiskit_24.qasm,MQTBench,24,4,greedy_hdh,234
ae_indep_qiskit_25.qasm,MQTBench,25,2,greedy_hdh,168
ae_indep_qiskit_25.qasm,MQTBench,25,3,greedy_hdh,225
ae_indep_qiskit_25.qasm,MQTBench,25,4,greedy_hdh,252
ae_indep_qiskit_26.qasm,MQTBench,26,2,greedy_hdh,182
ae_indep_qiskit_26.qasm,MQTBench,26,3,greedy_hdh,242
ae_indep_qiskit_26.qasm,MQTBench,26,4,greedy_hdh,271
ae_indep_qiskit_27.qasm,MQTBench,27,2,greedy_hdh,195
ae_indep_qiskit_27.qasm,MQTBench,27,3,greedy_hdh,261
ae_indep_qiskit_27.qasm,MQTBench,27,4,greedy_hdh,294
ae_indep_qiskit_28.qasm,MQTBench,28,2,greedy_hdh,210
ae_indep_qiskit_28.qasm,MQTBench,28,3,greedy_hdh,278
ae_indep_qiskit_28.qasm,MQTBench,28,4,greedy_hdh,315
ae_indep_qiskit_29.qasm,MQTBench,29,2,greedy_hdh,225
ae_indep_qiskit_29.qasm,MQTBench,29,3,greedy_hdh,300
ae_indep_qiskit_29.qasm,MQTBench,29,4,greedy_hdh,336
ae_indep_qiskit_30.qasm,MQTBench,30,2,greedy_hdh,240
ae_indep_qiskit_30.qasm,MQTBench,30,3,greedy_hdh,320
ae_indep_qiskit_30.qasm,MQTBench,30,4,greedy_hdh,358
ae_indep_qiskit_31.qasm,MQTBench,31,2,greedy_hdh,255
ae_indep_qiskit_31.qasm,MQTBench,31,3,greedy_hdh,339
ae_indep_qiskit_31.qasm,MQTBench,31,4,greedy_hdh,383
ae_indep_qiskit_32.qasm,MQTBench,32,2,greedy_hdh,272
ae_indep_qiskit_32.qasm,MQTBench,32,3,greedy_hdh,363
ae_indep_qiskit_32.qasm,MQTBench,32,4,greedy_hdh,408
ae_indep_qiskit_33.qasm,MQTBench,33,2,greedy_hdh,289
ae_indep_qiskit_33.qasm,MQTBench,33,3,greedy_hdh,385
ae_indep_qiskit_33.qasm,MQTBench,33,4,greedy_hdh,429
ae_indep_qiskit_34.qasm,MQTBench,34,2,greedy_hdh,306
ae_indep_qiskit_34.qasm,MQTBench,34,3,greedy_hdh,408
ae_indep_qiskit_34.qasm,MQTBench,34,4,greedy_hdh,459
ae_indep_qiskit_35.qasm,MQTBench,35,2,greedy_hdh,324
ae_indep_qiskit_35.qasm,MQTBench,35,3,greedy_hdh,431
ae_indep_qiskit_35.qasm,MQTBench,35,4,greedy_hdh,486
ae_indep_qiskit_36.qasm,MQTBench,36,2,greedy_hdh,342
ae_indep_qiskit_36.qasm,MQTBench,36,3,greedy_hdh,456
ae_indep_qiskit_36.qasm,MQTBench,36,4,greedy_hdh,513
ae_indep_qiskit_37.qasm,MQTBench,37,2,greedy_hdh,360
ae_indep_qiskit_37.qasm,MQTBench,37,3,greedy_hdh,479
ae_indep_qiskit_37.qasm,MQTBench,37,4,greedy_hdh,540
ae_indep_qiskit_38.qasm,MQTBench,38,2,greedy_hdh,380
ae_indep_qiskit_38.qasm,MQTBench,38,3,greedy_hdh,507
ae_indep_qiskit_38.qasm,MQTBench,38,4,greedy_hdh,570
ae_indep_qiskit_39.qasm,MQTBench,39,2,greedy_hdh,400
ae_indep_qiskit_39.qasm,MQTBench,39,3,greedy_hdh,533
ae_indep_qiskit_39.qasm,MQTBench,39,4,greedy_hdh,599
ae_indep_qiskit_40.qasm,MQTBench,40,2,greedy_hdh,420
ae_indep_qiskit_40.qasm,MQTBench,40,3,greedy_hdh,558
ae_indep_qiskit_40.qasm,MQTBench,40,4,greedy_hdh,630
ae_indep_qiskit_41.qasm,MQTBench,41,2,greedy_hdh,441
ae_indep_qiskit_41.qasm,MQTBench,41,3,greedy_hdh,587
ae_indep_qiskit_41.qasm,MQTBench,41,4,greedy_hdh,660
ae_indep_qiskit_42.qasm,MQTBench,42,2,greedy_hdh,462
ae_indep_qiskit_42.qasm,MQTBench,42,3,greedy_hdh,616
ae_indep_qiskit_42.qasm,MQTBench,42,4,greedy_hdh,693
ae_indep_qiskit_43.qasm,MQTBench,43,2,greedy_hdh,484
ae_indep_qiskit_43.qasm,MQTBench,43,3,greedy_hdh,645
ae_indep_qiskit_43.qasm,MQTBench,43,4,greedy_hdh,726
ae_indep_qiskit_44.qasm,MQTBench,44,2,greedy_hdh,506
ae_indep_qiskit_44.qasm,MQTBench,44,3,greedy_hdh,675
ae_indep_qiskit_44.qasm,MQTBench,44,4,greedy_hdh,759
ae_indep_qiskit_45.qasm,MQTBench,45,2,greedy_hdh,528
ae_indep_qiskit_45.qasm,MQTBench,45,3,greedy_hdh,705
ae_indep_qiskit_45.qasm,MQTBench,45,4,greedy_hdh,789
ae_indep_qiskit_46.qasm,MQTBench,46,2,greedy_hdh,552
ae_indep_qiskit_46.qasm,MQTBench,46,3,greedy_hdh,736
ae_indep_qiskit_46.qasm,MQTBench,46,4,greedy_hdh,828
ae_indep_qiskit_47.qasm,MQTBench,47,2,greedy_hdh,575
ae_indep_qiskit_47.qasm,MQTBench,47,3,greedy_hdh,767
ae_indep_qiskit_47.qasm,MQTBench,47,4,greedy_hdh,863
ae_indep_qiskit_48.qasm,MQTBench,48,2,greedy_hdh,600
ae_indep_qiskit_48.qasm,MQTBench,48,3,greedy_hdh,800
ae_indep_qiskit_48.qasm,MQTBench,48,4,greedy_hdh,900
ae_indep_qiskit_49.qasm,MQTBench,49,2,greedy_hdh,625
ae_indep_qiskit_49.qasm,MQTBench,49,3,greedy_hdh,831
ae_indep_qiskit_49.qasm,MQTBench,49,4,greedy_hdh,936
ae_indep_qiskit_50.qasm,MQTBench,50,2,greedy_hdh,650
ae_indep_qiskit_50.qasm,MQTBench,50,3,greedy_hdh,867
ae_indep_qiskit_50.qasm,MQTBench,50,4,greedy_hdh,973
ae_indep_qiskit_51.qasm,MQTBench,51,2,greedy_hdh,676
ae_indep_qiskit_51.qasm,MQTBench,51,3,greedy_hdh,901
ae_indep_qiskit_51.qasm,MQTBench,51,4,greedy_hdh,1013
ae_indep_qiskit_52.qasm,MQTBench,52,2,greedy_hdh,702
ae_indep_qiskit_52.qasm,MQTBench,52,3,greedy_hdh,936
ae_indep_qiskit_52.qasm,MQTBench,52,4,greedy_hdh,1053
ae_indep_qiskit_53.qasm,MQTBench,53,2,greedy_hdh,729
ae_indep_qiskit_53.qasm,MQTBench,53,3,greedy_hdh,972
ae_indep_qiskit_53.qasm,MQTBench,53,4,greedy_hdh,1092
ae_indep_qiskit_54.qasm,MQTBench,54,2,greedy_hdh,756
ae_indep_qiskit_54.qasm,MQTBench,54,3,greedy_hdh,1008
ae_indep_qiskit_54.qasm,MQTBench,54,4,greedy_hdh,1134
ae_indep_qiskit_55.qasm,MQTBench,55,2,greedy_hdh,783
ae_indep_qiskit_55.qasm,MQTBench,55,3,greedy_hdh,1043
ae_indep_qiskit_55.qasm,MQTBench,55,4,greedy_hdh,1176
ae_indep_qiskit_56.qasm,MQTBench,56,2,greedy_hdh,812
ae_indep_qiskit_56.qasm,MQTBench,56,3,greedy_hdh,1082
ae_indep_qiskit_56.qasm,MQTBench,56,4,greedy_hdh,1218
ae_indep_qiskit_57.qasm,MQTBench,57,2,greedy_hdh,840
ae_indep_qiskit_57.qasm,MQTBench,57,3,greedy_hdh,1121
ae_indep_qiskit_57.qasm,MQTBench,57,4,greedy_hdh,1260
ae_indep_qiskit_58.qasm,MQTBench,58,2,greedy_hdh,870
ae_indep_qiskit_58.qasm,MQTBench,58,3,greedy_hdh,1160
ae_indep_qiskit_58.qasm,MQTBench,58,4,greedy_hdh,1305
ae_indep_qiskit_59.qasm,MQTBench,59,2,greedy_hdh,900
ae_indep_qiskit_59.qasm,MQTBench,59,3,greedy_hdh,1200
ae_indep_qiskit_59.qasm,MQTBench,59,4,greedy_hdh,1349
ae_indep_qiskit_60.qasm,MQTBench,60,2,greedy_hdh,930
ae_indep_qiskit_60.qasm,MQTBench,60,3,greedy_hdh,1240
ae_indep_qiskit_60.qasm,MQTBench,60,4,greedy_hdh,1395
ae_indep_qiskit_61.qasm,MQTBench,61,2,greedy_hdh,961
ae_indep_qiskit_61.qasm,MQTBench,61,3,greedy_hdh,1281
ae_indep_qiskit_61.qasm,MQTBench,61,4,greedy_hdh,1440
ae_indep_qiskit_62.qasm,MQTBench,62,2,greedy_hdh,992
ae_indep_qiskit_62.qasm,MQTBench,62,3,greedy_hdh,1323
ae_indep_qiskit_62.qasm,MQTBench,62,4,greedy_hdh,1488
ae_indep_qiskit_63.qasm,MQTBench,63,2,greedy_hdh,1024
ae_indep_qiskit_63.qasm,MQTBench,63,3,greedy_hdh,1365
ae_indep_qiskit_63.qasm,MQTBench,63,4,greedy_hdh,1535
ae_indep_qiskit_64.qasm,MQTBench,64,2,greedy_hdh,1056
ae_indep_qiskit_64.qasm,MQTBench,64,3,greedy_hdh,1408
ae_indep_qiskit_64.qasm,MQTBench,64,4,greedy_hdh,1584
ae_indep_qiskit_65.qasm,MQTBench,65,2,greedy_hdh,1089
ae_indep_qiskit_65.qasm,MQTBench,65,3,greedy_hdh,1452
ae_indep_qiskit_65.qasm,MQTBench,65,4,greedy_hdh,1632
ae_indep_qiskit_66.qasm,MQTBench,66,2,greedy_hdh,1122
ae_indep_qiskit_66.qasm,MQTBench,66,3,greedy_hdh,1496
ae_indep_qiskit_66.qasm,MQTBench,66,4,greedy_hdh,1683
ae_indep_qiskit_67.qasm,MQTBench,67,2,greedy_hdh,1155
ae_indep_qiskit_67.qasm,MQTBench,67,3,greedy_hdh,1539
ae_indep_qiskit_67.qasm,MQTBench,67,4,greedy_hdh,1733
ae_indep_qiskit_68.qasm,MQTBench,68,2,greedy_hdh,1190
ae_indep_qiskit_68.qasm,MQTBench,68,3,greedy_hdh,1586
ae_indep_qiskit_68.qasm,MQTBench,68,4,greedy_hdh,1785
ae_indep_qiskit_69.qasm,MQTBench,69,2,greedy_hdh,1225
ae_indep_qiskit_69.qasm,MQTBench,69,3,greedy_hdh,1633
ae_indep_qiskit_69.qasm,MQTBench,69,4,greedy_hdh,1836
ae_indep_qiskit_70.qasm,MQTBench,70,2,greedy_hdh,1260
ae_indep_qiskit_70.qasm,MQTBench,70,3,greedy_hdh,1680
ae_indep_qiskit_70.qasm,MQTBench,70,4,greedy_hdh,1890
ae_indep_qiskit_71.qasm,MQTBench,71,2,greedy_hdh,1296
ae_indep_qiskit_71.qasm,MQTBench,71,3,greedy_hdh,1727
ae_indep_qiskit_71.qasm,MQTBench,71,4,greedy_hdh,1943
ae_indep_qiskit_72.qasm,MQTBench,72,2,greedy_hdh,1332
ae_indep_qiskit_72.qasm,MQTBench,72,3,greedy_hdh,1776
ae_indep_qiskit_72.qasm,MQTBench,72,4,greedy_hdh,1998
ae_indep_qiskit_73.qasm,MQTBench,73,2,greedy_hdh,1369
ae_indep_qiskit_73.qasm,MQTBench,73,3,greedy_hdh,1823
ae_indep_qiskit_73.qasm,MQTBench,73,4,greedy_hdh,2052
ae_indep_qiskit_74.qasm,MQTBench,74,2,greedy_hdh,1406
ae_indep_qiskit_74.qasm,MQTBench,74,3,greedy_hdh,1875
ae_indep_qiskit_74.qasm,MQTBench,74,4,greedy_hdh,2109
ae_indep_qiskit_75.qasm,MQTBench,75,2,greedy_hdh,1444
ae_indep_qiskit_75.qasm,MQTBench,75,3,greedy_hdh,1925
ae_indep_qiskit_75.qasm,MQTBench,75,4,greedy_hdh,2166
ae_indep_qiskit_76.qasm,MQTBench,76,2,greedy_hdh,1482
ae_indep_qiskit_76.qasm,MQTBench,76,3,greedy_hdh,1976
ae_indep_qiskit_76.qasm,MQTBench,76,4,greedy_hdh,2223
ae_indep_qiskit_77.qasm,MQTBench,77,2,greedy_hdh,1521
ae_indep_qiskit_77.qasm,MQTBench,77,3,greedy_hdh,2028
ae_indep_qiskit_77.qasm,MQTBench,77,4,greedy_hdh,2280
ae_indep_qiskit_78.qasm,MQTBench,78,2,greedy_hdh,1560
ae_indep_qiskit_78.qasm,MQTBench,78,3,greedy_hdh,2080
