workload_file,origin,n_qubits,k_partitions,best_method,best_cost
grover-noancilla_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,21505
grover-noancilla_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,24735
grover-noancilla_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,81
grover-noancilla_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,93
grover-noancilla_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,99
grover-noancilla_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,204
grover-noancilla_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,308
grover-noancilla_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,308
grover-noancilla_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,642
grover-noancilla_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,978
grover-noancilla_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,1050
grover-noancilla_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,2248
grover-noancilla_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,2568
grover-noancilla_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,2696
grover-noancilla_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,4512
grover-noancilla_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,6480
grover-noancilla_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,8076
grover-v-chain_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,75
grover-v-chain_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,78
grover-v-chain_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,78
grover-v-chain_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,112
grover-v-chain_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,180
grover-v-chain_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,216
grover-v-chain_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,516
grover-v-chain_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,450
grover-v-chain_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,738
portfolioqaoa_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,75
portfolioqaoa_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,96
portfolioqaoa_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,108
portfolioqaoa_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,18
portfolioqaoa_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,24
portfolioqaoa_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,24
portfolioqaoa_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,27
portfolioqaoa_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,36
portfolioqaoa_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,36
portfolioqaoa_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,36
portfolioqaoa_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,45
portfolioqaoa_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,54
portfolioqaoa_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,48
portfolioqaoa_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,63
portfolioqaoa_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,72
portfolioqaoa_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,60
portfolioqaoa_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,81
portfolioqaoa_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,81
portfoliovqe_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,75
portfoliovqe_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,96
portfoliovqe_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,108
portfoliovqe_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,18
portfoliovqe_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,24
portfoliovqe_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,24
portfoliovqe_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,27
portfoliovqe_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,36
portfoliovqe_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,36
portfoliovqe_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,36
portfoliovqe_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,45
portfoliovqe_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,54
portfoliovqe_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,48
portfoliovqe_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,63
portfoliovqe_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,72
portfoliovqe_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,60
portfoliovqe_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,81
portfoliovqe_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,81
pricingcall_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,16
pricingcall_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,8
pricingcall_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,8
pricingcall_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,19
pricingcall_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,20
pricingcall_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,36
pricingcall_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,25
pricingcall_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,29
pricingcall_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,29
pricingput_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,16
pricingput_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,8
pricingput_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,8
pricingput_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,12
pricingput_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,19
pricingput_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,36
pricingput_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,26
pricingput_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,29
pricingput_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,29
qaoa_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,8
qaoa_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,8
qaoa_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,16
qaoa_indep_qiskit_5.qasm,MQTBench,5,2,greedy_hdh,4
qaoa_indep_qiskit_5.qasm,MQTBench,5,3,greedy_hdh,6
qaoa_indep_qiskit_5.qasm,MQTBench,5,4,greedy_hdh,6
qaoa_indep_qiskit_6.qasm,MQTBench,6,2,greedy_hdh,8
qaoa_indep_qiskit_6.qasm,MQTBench,6,3,greedy_hdh,12
qaoa_indep_qiskit_6.qasm,MQTBench,6,4,greedy_hdh,12
qaoa_indep_qiskit_7.qasm,MQTBench,7,2,greedy_hdh,8
qaoa_indep_qiskit_7.qasm,MQTBench,7,3,greedy_hdh,10
qaoa_indep_qiskit_7.qasm,MQTBench,7,4,greedy_hdh,8
qaoa_indep_qiskit_8.qasm,MQTBench,8,2,greedy_hdh,8
qaoa_indep_qiskit_8.qasm,MQTBench,8,3,greedy_hdh,10
qaoa_indep_qiskit_8.qasm,MQTBench,8,4,greedy_hdh,12
qaoa_indep_qiskit_9.qasm,MQTBench,9,2,greedy_hdh,8
qaoa_indep_qiskit_9.qasm,MQTBench,9,3,greedy_hdh,10
qaoa_indep_qiskit_9.qasm,MQTBench,9,4,greedy_hdh,10
qft_indep_qiskit_10.qasm,MQTBench,10,2,greedy_hdh,26
qft_indep_qiskit_10.qasm,MQTBench,10,3,greedy_hdh,34
qft_indep_qiskit_10.qasm,MQTBench,10,4,greedy_hdh,40
