model_type,partitioner,partitions,cost
Circuit,compute_cut,"[{'q4_t6', 'q4_t5', 'q4_t8', 'q1_t8', 'q0_t12', 'q0_t13', 'q1_t11', 'q4_t7', 'q1_t7', 'q0_t11', 'q1_t9', 'q4_t3', 'q4_t9', 'q0_t10', 'q4_t4', 'q1_t12', 'q1_t5', 'q1_t6', 'q1_t10'}, {'q2_t7', 'q2_t0', 'q3_t0', 'q2_t2', 'q3_t4', 'q3_t2', 'q3_t6', 'q2_t1', 'q2_t8', 'q3_t1', 'q3_t3', 'q2_t3', 'q2_t9', 'q3_t5'}]",1
Circuit,metis_telegate,"[{'q0', 'q3'}, {'q1', 'q4', 'q2'}]",1
MBQC,compute_cut,"[{'q5_t5', 'q2_t2', 'q6_t6', 'q8_t8', 'q5_t0', 'q3_t3', 'q8_t0', 'q0_t0'}, {'q7_t7', 'q1_t1', 'q9_t0', 'q9_t9', 'q7_t0', 'q4_t4'}]",1
MBQC,metis_telegate,"[{'q2', 'q6', 'q3', 'q7', 'q8'}, {'q1', 'q5', 'q4', 'q9', 'q0'}]",3
QW,compute_cut,"[{'q5_t5', 'q0_t0', 'q3_t3', 'q4_t4'}, {'q1_t1', 'q2_t2'}]",2
QW,metis_telegate,"[{'q1', 'q0', 'q2'}, {'q5', 'q4', 'q3'}]",1
QCA,compute_cut,"[{'q4_t1', 'q2_t0', 'q4_t2', 'q3_t0', 'q2_t2', 'q4_t3', 'q3_t2', 'q2_t1', 'q4_t0', 'q3_t1', 'q3_t3', 'q2_t3'}, {'q1_t0', 'q1_t1', 'q1_t2', 'q0_t2', 'q1_t3', 'q0_t3', 'q0_t1', 'q0_t0'}]",9
QCA,metis_telegate,"[{'q4', 'q3'}, {'q1', 'q0', 'q2'}]",5
Circuit,compute_cut,"[{'q4_t2', 'q0_t14', 'q4_t17', 'q1_t3', 'q4_t18', 'q1_t16', 'q4_t13', 'q1_t1', 'q1_t2', 'q1_t4', 'q4_t15', 'q0_t12', 'q0_t13', 'q1_t11', 'q4_t14', 'q1_t17', 'q1_t7', 'q0_t15', 'q0_t11', 'q1_t9', 'q4_t3', 'q4_t9', 'q4_t1', 'q4_t16', 'q1_t0', 'q1_t5', 'q4_t10', 'q4_t11', 'q1_t6', 'q1_t18', 'q4_t0', 'q1_t10'}, {'q3_t15', 'q3_t11', 'q3_t6', 'q3_t7', 'q2_t8', 'q3_t9', 'q2_t6', 'q3_t5', 'q2_t7', 'q3_t10', 'q2_t16', 'q2_t10', 'q3_t8', 'q2_t0', 'q3_t13', 'q2_t2', 'q2_t1', 'q2_t3', 'q2_t9', 'q2_t11', 'q3_t14', 'q2_t17', 'q2_t18'}]",5
Circuit,metis_telegate,"[{'q0', 'q3'}, {'q1', 'q4', 'q2'}]",3
MBQC,compute_cut,"[{'q9_t0', 'q2_t2', 'q8_t8', 'q9_t9', 'q3_t3', 'q8_t0', 'q0_t0', 'q4_t4'}, {'q5_t5', 'q7_t7', 'q1_t1', 'q6_t6', 'q7_t0'}]",2
MBQC,metis_telegate,"[{'q1', 'q5', 'q9', 'q3', 'q0'}, {'q2', 'q6', 'q4', 'q7', 'q8'}]",0
QW,compute_cut,"[{'q1_t1', 'q2_t2', 'q0_t0', 'q3_t3'}, {'q5_t5', 'q4_t4'}]",1
QW,metis_telegate,"[{'q5', 'q4', 'q3'}, {'q1', 'q0', 'q2'}]",1
QCA,compute_cut,"[{'q4_t1', 'q1_t0', 'q4_t2', 'q1_t1', 'q1_t2', 'q4_t3', 'q4_t0', 'q0_t2', 'q1_t3', 'q0_t3', 'q0_t1', 'q0_t0'}, {'q2_t0', 'q3_t0', 'q2_t2', 'q3_t2', 'q2_t1', 'q3_t1', 'q3_t3', 'q2_t3'}]",9
QCA,metis_telegate,"[{'q3', 'q2'}, {'q1', 'q0', 'q4'}]",5
Circuit,compute_cut,"[{'q4_t2', 'q4_t6', 'q4_t5', 'q4_t8', 'q0_t4', 'q0_t5', 'q0_t3', 'q4_t7', 'q4_t3', 'q0_t2', 'q4_t9', 'q4_t4', 'q0_t1', 'q4_t1', 'q1_t0', 'q0_t6', 'q4_t10', 'q4_t11', 'q4_t0', 'q0_t7'}, {'q2_t7', 'q2_t11', 'q2_t0', 'q2_t2', 'q2_t10', 'q2_t1', 'q2_t8', 'q2_t5', 'q2_t6', 'q2_t3', 'q2_t4', 'q2_t9'}]",3
Circuit,metis_telegate,"[{'q1', 'q0'}, {'q4', 'q2'}]",2
MBQC,compute_cut,"[{'q5_t5', 'q7_t7', 'q1_t1', 'q2_t2', 'q5_t0', 'q3_t3', 'q0_t0'}, {'q9_t0', 'q6_t6', 'q9_t9', 'q8_t8', 'q8_t0', 'q4_t4'}]",4
MBQC,metis_telegate,"[{'q1', 'q5', 'q4', 'q8', 'q0'}, {'q2', 'q6', 'q9', 'q3', 'q7'}]",0
QW,compute_cut,"[{'q5_t5', 'q7_t7', 'q6_t6', 'q8_t8', 'q4_t4'}, {'q1_t1', 'q0_t0', 'q2_t2', 'q3_t3'}]",1
QW,metis_telegate,"[{'q1', 'q0', 'q3', 'q2'}, {'q5', 'q6', 'q4', 'q7', 'q8'}]",1
