workload_file,model,origin,n_qubits,best_method,best_cost,win_margin,methods_tested
ae_indep_qiskit_39.qasm,Circuit,MQTBench,39,greedy_hdh,400,0,1
ae_indep_qiskit_4.qasm,Circuit,MQTBench,4,greedy_hdh,6,0,1
ae_indep_qiskit_40.qasm,Circuit,MQTBench,40,greedy_hdh,420,0,1
ae_indep_qiskit_41.qasm,Circuit,MQTBench,41,greedy_hdh,441,0,1
ae_indep_qiskit_42.qasm,Circuit,MQTBench,42,greedy_hdh,462,0,1
ae_indep_qiskit_43.qasm,Circuit,MQTBench,43,greedy_hdh,484,0,1
ae_indep_qiskit_44.qasm,Circuit,MQTBench,44,greedy_hdh,506,0,1
ae_indep_qiskit_45.qasm,Circuit,MQTBench,45,greedy_hdh,528,0,1
ae_indep_qiskit_46.qasm,Circuit,MQTBench,46,greedy_hdh,552,0,1
ae_indep_qiskit_47.qasm,Circuit,MQTBench,47,greedy_hdh,575,0,1
ae_indep_qiskit_48.qasm,Circuit,MQTBench,48,greedy_hdh,600,0,1
ae_indep_qiskit_49.qasm,Circuit,MQTBench,49,greedy_hdh,625,0,1
ae_indep_qiskit_5.qasm,Circuit,MQTBench,5,greedy_hdh,8,0,1
ae_indep_qiskit_50.qasm,Circuit,MQTBench,50,greedy_hdh,650,0,1
ae_indep_qiskit_51.qasm,Circuit,MQTBench,51,greedy_hdh,676,0,1
ae_indep_qiskit_52.qasm,Circuit,MQTBench,52,greedy_hdh,702,0,1
ae_indep_qiskit_53.qasm,Circuit,MQTBench,53,greedy_hdh,729,0,1
ae_indep_qiskit_54.qasm,Circuit,MQTBench,54,greedy_hdh,756,0,1
ae_indep_qiskit_55.qasm,Circuit,MQTBench,55,greedy_hdh,783,0,1
ae_indep_qiskit_56.qasm,Circuit,MQTBench,56,greedy_hdh,812,0,1
ae_indep_qiskit_57.qasm,Circuit,MQTBench,57,greedy_hdh,840,0,1
ae_indep_qiskit_58.qasm,Circuit,MQTBench,58,greedy_hdh,870,0,1
ae_indep_qiskit_59.qasm,Circuit,MQTBench,59,greedy_hdh,900,0,1
ae_indep_qiskit_6.qasm,Circuit,MQTBench,6,greedy_hdh,12,0,1
ae_indep_qiskit_60.qasm,Circuit,MQTBench,60,greedy_hdh,930,0,1
ae_indep_qiskit_61.qasm,Circuit,MQTBench,61,greedy_hdh,961,0,1
ae_indep_qiskit_62.qasm,Circuit,MQTBench,62,greedy_hdh,992,0,1
ae_indep_qiskit_63.qasm,Circuit,MQTBench,63,greedy_hdh,1024,0,1
ae_indep_qiskit_64.qasm,Circuit,MQTBench,64,greedy_hdh,1056,0,1
ae_indep_qiskit_65.qasm,Circuit,MQTBench,65,greedy_hdh,1089,0,1
ae_indep_qiskit_66.qasm,Circuit,MQTBench,66,greedy_hdh,1122,0,1
ae_indep_qiskit_67.qasm,Circuit,MQTBench,67,greedy_hdh,1155,0,1
ae_indep_qiskit_68.qasm,Circuit,MQTBench,68,greedy_hdh,1190,0,1
ae_indep_qiskit_69.qasm,Circuit,MQTBench,69,greedy_hdh,1225,0,1
ae_indep_qiskit_7.qasm,Circuit,MQTBench,7,greedy_hdh,16,0,1
ae_indep_qiskit_70.qasm,Circuit,MQTBench,70,greedy_hdh,1260,0,1
ae_indep_qiskit_71.qasm,Circuit,MQTBench,71,greedy_hdh,1296,0,1
ae_indep_qiskit_72.qasm,Circuit,MQTBench,72,greedy_hdh,1332,0,1
ae_indep_qiskit_73.qasm,Circuit,MQTBench,73,greedy_hdh,1369,0,1
ae_indep_qiskit_74.qasm,Circuit,MQTBench,74,greedy_hdh,1406,0,1
ae_indep_qiskit_75.qasm,Circuit,MQTBench,75,greedy_hdh,1444,0,1
ae_indep_qiskit_76.qasm,Circuit,MQTBench,76,greedy_hdh,1482,0,1
ae_indep_qiskit_77.qasm,Circuit,MQTBench,77,greedy_hdh,1521,0,1
ae_indep_qiskit_78.qasm,Circuit,MQTBench,78,greedy_hdh,1560,0,1
ae_indep_qiskit_79.qasm,Circuit,MQTBench,79,greedy_hdh,1600,0,1
ae_indep_qiskit_8.qasm,Circuit,MQTBench,8,greedy_hdh,20,0,1
ae_indep_qiskit_80.qasm,Circuit,MQTBench,80,greedy_hdh,1640,0,1
ae_indep_qiskit_81.qasm,Circuit,MQTBench,81,greedy_hdh,1681,0,1
ae_indep_qiskit_82.qasm,Circuit,MQTBench,82,greedy_hdh,1722,0,1
ae_indep_qiskit_83.qasm,Circuit,MQTBench,83,greedy_hdh,1764,0,1
ae_indep_qiskit_84.qasm,Circuit,MQTBench,84,greedy_hdh,1806,0,1
ae_indep_qiskit_85.qasm,Circuit,MQTBench,85,greedy_hdh,1849,0,1
ae_indep_qiskit_86.qasm,Circuit,MQTBench,86,greedy_hdh,1892,0,1
ae_indep_qiskit_87.qasm,Circuit,MQTBench,87,greedy_hdh,1936,0,1
ae_indep_qiskit_88.qasm,Circuit,MQTBench,88,greedy_hdh,1980,0,1
ae_indep_qiskit_89.qasm,Circuit,MQTBench,89,greedy_hdh,2025,0,1
ae_indep_qiskit_9.qasm,Circuit,MQTBench,9,greedy_hdh,25,0,1
ae_indep_qiskit_90.qasm,Circuit,MQTBench,90,greedy_hdh,2070,0,1
ae_indep_qiskit_91.qasm,Circuit,MQTBench,91,greedy_hdh,2116,0,1
ae_indep_qiskit_92.qasm,Circuit,MQTBench,92,greedy_hdh,2162,0,1
ae_indep_qiskit_93.qasm,Circuit,MQTBench,93,greedy_hdh,2209,0,1
ae_indep_qiskit_94.qasm,Circuit,MQTBench,94,greedy_hdh,2256,0,1
ae_indep_qiskit_95.qasm,Circuit,MQTBench,95,greedy_hdh,2304,0,1
ae_indep_qiskit_96.qasm,Circuit,MQTBench,96,greedy_hdh,2352,0,1
ae_indep_qiskit_97.qasm,Circuit,MQTBench,97,greedy_hdh,2401,0,1
ae_indep_qiskit_98.qasm,Circuit,MQTBench,98,greedy_hdh,2450,0,1
ae_indep_qiskit_99.qasm,Circuit,MQTBench,99,greedy_hdh,2500,0,1
dj_indep_qiskit_10.qasm,Circuit,MQTBench,10,greedy_hdh,5,0,1
dj_indep_qiskit_100.qasm,Circuit,MQTBench,100,greedy_hdh,50,0,1
dj_indep_qiskit_101.qasm,Circuit,MQTBench,101,greedy_hdh,50,0,1
dj_indep_qiskit_102.qasm,Circuit,MQTBench,102,greedy_hdh,51,0,1
dj_indep_qiskit_103.qasm,Circuit,MQTBench,103,greedy_hdh,51,0,1
dj_indep_qiskit_104.qasm,Circuit,MQTBench,104,greedy_hdh,52,0,1
dj_indep_qiskit_105.qasm,Circuit,MQTBench,105,greedy_hdh,52,0,1
dj_indep_qiskit_106.qasm,Circuit,MQTBench,106,greedy_hdh,53,0,1
dj_indep_qiskit_107.qasm,Circuit,MQTBench,107,greedy_hdh,53,0,1
dj_indep_qiskit_108.qasm,Circuit,MQTBench,108,greedy_hdh,54,0,1
dj_indep_qiskit_109.qasm,Circuit,MQTBench,109,greedy_hdh,54,0,1
dj_indep_qiskit_11.qasm,Circuit,MQTBench,11,greedy_hdh,5,0,1
